tool	motivating_cycle	root_style	takes_path_arg	store	deliverable	selftest
adverse.py	c883	RESOLVE	Y	IMMUTABLE	YES	Y
alertrate.py	c960	NONE	n	MUTABLE-ONLY	NO	n
assay.py	c947	ABSPATH	n	IMMUTABLE	YES	Y
bandsample.py	c803	NONE	n	MUTABLE-ONLY	NO	n
banked.py	c908	ABSPATH	n	IMMUTABLE	YES	n
bench_smartturn_narrowband.py		NONE	n	NONE	NO	n
blindlabel.py	c949	RESOLVE	n	NONE	NO	n
cadence.py	c954	RESOLVE	n	IMMUTABLE	NO	Y
casesites.py	c940	ABSPATH	Y	NONE	YES	n
cfrblocks.py	c846	NONE	Y	NONE	YES	n
citefence.py	c897	ABSPATH	n	IMMUTABLE	YES	n
citefence_classify.py	c897	ABSPATH	n	IMMUTABLE	YES	n
citefor.py	c958	ABSPATH	Y	NONE	YES	n
citegraph.py	c839	RESOLVE	Y	NONE	YES	n
citeline.py	c988	NONE	Y	IMMUTABLE	YES	Y
completeness.py	c915	ABSPATH	Y	IMMUTABLE	YES	n
countercmp.py	c970	RESOLVE	Y	IMMUTABLE	YES	Y
curecheck.py	c830	ABSPATH	n	NONE	YES	n
cycserv.py	c923	ABSPATH	n	NONE	YES	Y
d1sample.py	c797	ABSOLUTE	Y	NONE	NO	n
discgram.py	c890	ABSOLUTE	Y	IMMUTABLE	NO	Y
entrylen.py	c848	ABSOLUTE	Y	IMMUTABLE	NO	n
equiv.py	c924	RESOLVE	n	NONE	NO	Y
evict.py	c911	RESOLVE	Y	IMMUTABLE	YES	n
evidclass.py	c967	ABSOLUTE	n	IMMUTABLE	NO	Y
exempt.py	c932	ABSPATH	n	IMMUTABLE	YES	Y
fetchgate.py	c907	ABSPATH	Y	NONE	YES	n
fetchledger.py	c987	NONE	Y	NONE	YES	Y
floors.py	c945	ABSPATH	n	NONE	YES	n
foldsurv.py	c830	ABSOLUTE	n	IMMUTABLE	NO	Y
intentdup.py	c920	ABSOLUTE	n	IMMUTABLE	NO	Y
margins.py	c848	ABSPATH	n	NONE	YES	n
markercheck.py	c750	RESOLVE	Y	MUTABLE-ONLY	YES	Y
negcontrol.py	c836	ABSPATH	Y	IMMUTABLE	YES	n
pairscore.py	c898	ABSPATH	Y	IMMUTABLE	YES	Y
passcount.py	c892	ABSOLUTE	n	IMMUTABLE	NO	Y
passrefuse.py	c952	ABSOLUTE	n	IMMUTABLE	NO	n
pipeflow.py	c943	NONE	n	MUTABLE-ONLY	NO	n
poscheck.py	c816	NONE	Y	NONE	YES	n
predstat.py	c692	ABSOLUTE	n	IMMUTABLE	NO	Y
prereg.py	c839	NONE	Y	IMMUTABLE	YES	Y
prewrite.py	c699	NONE	Y	NONE	YES	Y
priorcov.py	c764	ABSOLUTE	Y	IMMUTABLE	NO	Y
provaudit.py	c904	ABSPATH	n	IMMUTABLE	YES	Y
reachcmp.py	c913	RESOLVE	n	IMMUTABLE	NO	Y
recallcheck.py	c951	ABSPATH	Y	NONE	YES	Y
rediscover.py	c956	ABSPATH	Y	IMMUTABLE	YES	Y
reopen.py	c865	RESOLVE	Y	IMMUTABLE	YES	n
resolve.py	c927	ABSPATH	n	IMMUTABLE	YES	Y
scopeapply.py	c908	RESOLVE	n	IMMUTABLE	NO	Y
severity.py	c853	NONE	n	NONE	NO	Y
stalecheck.py	c956	ABSPATH	n	MUTABLE-ONLY	YES	Y
stampgate.py	c940	RESOLVE	Y	IMMUTABLE	YES	Y
statuscheck.py	c980	NONE	Y	NONE	YES	Y
threadevidence.py	c953	RESOLVE	Y	MUTABLE-ONLY	YES	n
threadverbs.py	c931	RESOLVE	Y	MUTABLE-ONLY	YES	n
trigdens.py	c918	ABSOLUTE	n	IMMUTABLE	NO	n
trim-c841.py	c841	NONE	n	IMMUTABLE	NO	n
unbanked.py	c909	ABSPATH	n	IMMUTABLE	YES	n
vigilnull.py		RESOLVE	Y	IMMUTABLE	YES	Y
